constraint,pi,slack,abs_pi
min_power_S69,174.93653946592678,0.0,174.93653946592678
min_power_S20,170.40284634645354,0.0,170.40284634645354
min_power_S17,156.83928193339943,0.0,156.83928193339943
min_power_S3,156.2589616754368,0.0,156.2589616754368
min_power_S12,140.69671219232794,0.0,140.69671219232794
min_power_S67,121.87720567398719,0.0,121.87720567398719
min_power_S68,120.8051440010521,0.0,120.8051440010521
min_power_S8,116.90633704938807,0.0,116.90633704938807
min_power_S65,106.46522382381397,0.0,106.46522382381397
min_power_S25,101.55475339952181,0.0,101.55475339952181
min_power_S23,101.55475339952181,0.0,101.55475339952181
min_power_S11,99.73239995862718,0.0,99.73239995862718
min_power_S6,98.32819026437664,0.0,98.32819026437664
min_power_S1,89.56029253304155,0.0,89.56029253304155
min_power_S9,82.14908114738557,0.0,82.14908114738557
min_power_S13,69.34702434060694,0.0,69.34702434060694
min_power_S2,46.86287105527083,0.0,46.86287105527083
capacity_S47,-46.77441132829972,0.0,46.77441132829972
min_power_S22,46.61809410207388,0.0,46.61809410207388
max_power_S37,-24.433077059582104,0.0,24.433077059582104
max_power_S71,0.0,353.6,0.0
max_power_S70,0.0,131.87531054834596,0.0
max_power_S60,0.0,247.16000000000003,0.0
max_power_S69,0.0,724.8800000000001,0.0
max_power_S68,0.0,291.71999999999997,0.0
max_power_S61,0.0,70.92500000000001,0.0
max_power_S67,0.0,344.76,0.0
max_power_S62,0.0,0.0,0.0
max_power_S63,0.0,11.25,0.0
max_power_S35,0.0,137.58499999999998,0.0
max_power_S36,0.0,185.84500000000003,0.0
max_power_S38,0.0,66.2,0.0
max_power_S39,0.0,309.40000000000003,0.0
max_power_S40,0.0,150.28,0.0
max_power_S41,0.0,114.92,0.0
max_power_S43,0.0,884.0,0.0
max_power_S65,0.0,495.0399999999999,0.0
max_chargers_S2,0.0,67.0222972972973,0.0
max_chargers_S3,0.0,140.49324324324326,0.0
max_chargers_S4,0.0,3.0,0.0
max_chargers_S5,0.0,9.876379558252395,0.0
max_chargers_S6,0.0,39.04054054054054,0.0
max_power_S51,0.0,33.15,0.0
max_power_S52,0.0,43.03,0.0
max_power_S53,0.0,669.4904204752896,0.0
max_power_S54,0.0,0.0,0.0
max_power_S72,0.0,265.2,0.0
max_power_S56,0.0,0.0,0.0
max_power_S57,0.0,1171.5,0.0
max_power_S58,0.0,7.375,0.0
max_power_S59,0.0,0.0,0.0
max_chargers_S1,0.0,58.96351351351352,0.0
max_power_S76,0.0,33.15,0.0
max_power_S75,0.0,659.0215737269602,0.0
max_power_S74,0.0,44.099999999999994,0.0
max_power_S73,0.0,0.0,0.0
max_power_S55,0.0,265.2,0.0
max_chargers_S40,0.0,22.92297297297297,0.0
max_chargers_S39,0.0,44.5472972972973,0.0
max_chargers_S38,0.0,12.0,0.0
max_chargers_S37,0.0,11.027954545454541,0.0
max_chargers_S36,0.0,20.0,0.0
max_chargers_S35,0.0,8.0,0.0
max_chargers_S34,0.0,16.098264903464052,0.0
max_chargers_S33,0.0,7.0,0.0
max_chargers_S32,0.0,2.0,0.0
max_chargers_S31,0.0,10.0,0.0
max_chargers_S30,0.0,20.0,0.0
max_chargers_S45,0.0,15.714864864864865,0.0
max_power_S42,0.0,238.68000000000004,0.0
max_chargers_S74,0.0,9.0,0.0
max_chargers_S73,0.0,8.0,0.0
max_chargers_S72,0.0,26.972727272727273,0.0
max_chargers_S71,0.0,51.054054054054056,0.0
max_chargers_S70,0.0,19.557474398425136,0.0
max_chargers_S69,0.0,99.51081081081082,0.0
max_chargers_S68,0.0,41.98243243243243,0.0
max_chargers_S67,0.0,49.3527027027027,0.0
max_chargers_S66,0.0,8.698409090909092,0.0
max_chargers_S49,0.0,12.0,0.0
max_chargers_S48,0.0,21.922972972972975,0.0
max_chargers_S47,0.0,52.45675675675676,0.0
max_chargers_S46,0.0,30.832432432432434,0.0
max_chargers_S75,0.0,38.57734426031638,0.0
max_chargers_S17,0.0,70.27567567567567,0.0
max_chargers_S16,0.0,103.0,0.0
max_chargers_S15,0.0,36.0,0.0
max_chargers_S14,0.0,6.0,0.0
max_chargers_S13,0.0,36.33918918918919,0.0
max_chargers_S12,0.0,31.670270270270272,0.0
max_chargers_S11,0.0,53.729729729729726,0.0
max_chargers_S10,0.0,78.02135135135136,0.0
max_chargers_S9,0.0,77.48378378378379,0.0
max_chargers_S8,0.0,24.624324324324323,0.0
max_chargers_S7,0.0,16.39470006848012,0.0
max_chargers_S28,0.0,84.0,0.0
max_chargers_S41,0.0,18.11756756756757,0.0
max_chargers_S25,0.0,31.533783783783782,0.0
max_chargers_S24,0.0,1.8909090909090907,0.0
max_chargers_S23,0.0,32.37162162162162,0.0
max_chargers_S22,0.0,17.254054054054055,0.0
